City,Year,NO2,Xloc,Yloc,Latitude,Longitude
Phoenix,2000,68764,200,600,33.448377,-112.07404
Phoenix,2001,69844,200,600,33.448377,-112.07404
Phoenix,2002,69280,200,600,33.448377,-112.07404
Phoenix,2003,60140,200,600,33.448377,-112.07404
Phoenix,2004,59058,200,600,33.448377,-112.07404
Phoenix,2005,150892,200,600,33.448377,-112.07404
Phoenix,2006,154472,200,600,33.448377,-112.07404
Phoenix,2007,114520,200,600,33.448377,-112.07404
Phoenix,2008,108998,200,600,33.448377,-112.07404
Phoenix,2009,106628,200,600,33.448377,-112.07404
Phoenix,2010,94788,200,600,33.448377,-112.07404
Los Angeles,2000,73912,300,600,34.052234,Ê-118.24368
Los Angeles,2001,146296,300,600,34.052234,Ê-118.24368
Los Angeles,2002,99842,300,600,34.052234,Ê-118.24368
Los Angeles,2003,71616,300,600,34.052234,Ê-118.24368
Los Angeles,2004,92953,300,600,34.052234,Ê-118.24368
Los Angeles,2005,103036,300,600,34.052234,Ê-118.24368
Los Angeles,2006,106292,300,600,34.052234,Ê-118.24368
Los Angeles,2007,99980,300,600,34.052234,Ê-118.24368
Los Angeles,2008,97504,300,600,34.052234,Ê-118.24368
Los Angeles,2009,95250,300,600,34.052234,Ê-118.24368
Los Angeles,2010,89244,300,600,34.052234,Ê-118.24368
New York,2000,95986,400,600,40.712784,-74.005941
New York,2001,134062,400,600,40.712784,-74.005941
New York,2002,111500,400,600,40.712784,-74.005941
New York,2003,108844,400,600,40.712784,-74.005941
New York,2004,106894,400,600,40.712784,-74.005941
New York,2005,104026,400,600,40.712784,-74.005941
New York,2006,108630,400,600,40.712784,-74.005941
New York,2007,148268,400,600,40.712784,-74.005941
New York,2008,116240,400,600,40.712784,-74.005941
New York,2009,94760,400,600,40.712784,-74.005941
New York,2010,95760,400,600,40.712784,-74.005941
San Diego,2000,107668,500,600,32.715738,-117.16108
San Diego,2001,95908,500,600,32.715738,-117.16108
San Diego,2002,107368,500,600,32.715738,-117.16108
San Diego,2003,104028,500,600,32.715738,-117.16108
San Diego,2004,103964,500,600,32.715738,-117.16108
San Diego,2005,102102,500,600,32.715738,-117.16108
San Diego,2006,105758,500,600,32.715738,-117.16108
San Diego,2007,92226,500,600,32.715738,-117.16108
San Diego,2008,97424,500,600,32.715738,-117.16108
San Diego,2009,95692,500,600,32.715738,-117.16108
San Diego,2010,40514,500,600,32.715738,-117.16108
El Paso,2000,56538,600,600,31.761878,-106.48502
El Paso,2001,75204,600,600,31.761878,-106.48502
El Paso,2002,81346,600,600,31.761878,-106.48502
El Paso,2003,86030,600,600,31.761878,-106.48502
El Paso,2004,80404,600,600,31.761878,-106.48502
El Paso,2005,83516,600,600,31.761878,-106.48502
El Paso,2006,74800,600,600,31.761878,-106.48502
El Paso,2007,72192,600,600,31.761878,-106.48502
El Paso,2008,46252,600,600,31.761878,-106.48502
El Paso,2009,40252,600,600,31.761878,-106.48502
El Paso,2010,60784,600,600,31.761878,-106.48502
Long Beach,2000,71784,700,600,33.77005,-118.19374
Long Beach,2001,70236,700,600,33.77005,-118.19374
Long Beach,2002,64424,700,600,33.77005,-118.19374
Long Beach,2003,59972,700,600,33.77005,-118.19374
Long Beach,2004,60184,700,600,33.77005,-118.19374
Long Beach,2005,53660,700,600,33.77005,-118.19374
Long Beach,2006,49128,700,600,33.77005,-118.19374
Long Beach,2007,48808,700,600,33.77005,-118.19374
Long Beach,2008,51148,700,600,33.77005,-118.19374
Long Beach,2009,43788,700,600,33.77005,-118.19374
Long Beach,2010,95740,700,600,33.77005,-118.19374
Victorville,2000,59220,800,600,34.536218,-117.29276
Victorville,2001,59494,800,600,34.536218,-117.29276
Victorville,2002,61176,800,600,34.536218,-117.29276
Victorville,2003,58000,800,600,34.536218,-117.29276
Victorville,2004,57808,800,600,34.536218,-117.29276
Victorville,2005,53700,800,600,34.536218,-117.29276
Victorville,2006,55304,800,600,34.536218,-117.29276
Victorville,2007,51852,800,600,34.536218,-117.29276
Victorville,2008,48996,800,600,34.536218,-117.29276
Victorville,2009,46356,800,600,34.536218,-117.29276
Victorville,2010,43760,800,600,34.536218,-117.29276
Washington,2000,54304,900,600,38.907192,-77.036871
Washington,2001,54352,900,600,38.907192,-77.036871
Washington,2002,58108,900,600,38.907192,-77.036871
Washington,2003,52148,900,600,38.907192,-77.036871
Washington,2004,49420,900,600,38.907192,-77.036871
Washington,2005,49836,900,600,38.907192,-77.036871
Washington,2006,43228,900,600,38.907192,-77.036871
Washington,2007,39272,900,600,38.907192,-77.036871
Washington,2008,46408,900,600,38.907192,-77.036871
Washington,2009,45440,900,600,38.907192,-77.036871
Washington,2010,45128,900,600,38.907192,-77.036871
