City,Year,NO2,MeanNO2,Latitude,Longitude
Phoenix,2000,68764,96126,33.448377,-112.07404
Phoenix,2001,69844,96126,33.448377,-112.07404
Phoenix,2002,69280,96126,33.448377,-112.07404
Phoenix,2003,60140,96126,33.448377,-112.07404
Phoenix,2004,59058,96126,33.448377,-112.07404
Phoenix,2005,150892,96126,33.448377,-112.07404
Phoenix,2006,154472,96126,33.448377,-112.07404
Phoenix,2007,114520,96126,33.448377,-112.07404
Phoenix,2008,108998,96126,33.448377,-112.07404
Phoenix,2009,106628,96126,33.448377,-112.07404
Phoenix,2010,94788,96126,33.448377,-112.07404
Los Angeles,2000,73912,97811,34.052234,-118.24368
Los Angeles,2001,146296,97811,34.052234,-118.24368
Los Angeles,2002,99842,97811,34.052234,-118.24368
Los Angeles,2003,71616,97811,34.052234,-118.24368
Los Angeles,2004,92953,97811,34.052234,-118.24368
Los Angeles,2005,103036,97811,34.052234,-118.24368
Los Angeles,2006,106292,97811,34.052234,-118.24368
Los Angeles,2007,99980,97811,34.052234,-118.24368
Los Angeles,2008,97504,97811,34.052234,-118.24368
Los Angeles,2009,95250,97811,34.052234,-118.24368
Los Angeles,2010,89244,97811,34.052234,-118.24368
New York,2000,95986,111361,40.712784,-74.005941
New York,2001,134062,111361,40.712784,-74.005941
New York,2002,111500,111361,40.712784,-74.005941
New York,2003,108844,111361,40.712784,-74.005941
New York,2004,106894,111361,40.712784,-74.005941
New York,2005,104026,111361,40.712784,-74.005941
New York,2006,108630,111361,40.712784,-74.005941
New York,2007,148268,111361,40.712784,-74.005941
New York,2008,116240,111361,40.712784,-74.005941
New York,2009,94760,111361,40.712784,-74.005941
New York,2010,95760,111361,40.712784,-74.005941
San Diego,2000,107668,95696,32.715738,-117.16108
San Diego,2001,95908,95696,32.715738,-117.16108
San Diego,2002,107368,95696,32.715738,-117.16108
San Diego,2003,104028,95696,32.715738,-117.16108
San Diego,2004,103964,95696,32.715738,-117.16108
San Diego,2005,102102,95696,32.715738,-117.16108
San Diego,2006,105758,95696,32.715738,-117.16108
San Diego,2007,92226,95696,32.715738,-117.16108
San Diego,2008,97424,95696,32.715738,-117.16108
San Diego,2009,95692,95696,32.715738,-117.16108
San Diego,2010,40514,95696,32.715738,-117.16108
El Paso,2000,56538,69653,31.761878,-106.48502
El Paso,2001,75204,69653,31.761878,-106.48502
El Paso,2002,81346,69653,31.761878,-106.48502
El Paso,2003,86030,69653,31.761878,-106.48502
El Paso,2004,80404,69653,31.761878,-106.48502
El Paso,2005,83516,69653,31.761878,-106.48502
El Paso,2006,74800,69653,31.761878,-106.48502
El Paso,2007,72192,69653,31.761878,-106.48502
El Paso,2008,46252,69653,31.761878,-106.48502
El Paso,2009,40252,69653,31.761878,-106.48502
El Paso,2010,60784,69653,31.761878,-106.48502
Long Beach,2000,71784,60807,33.77005,-118.19374
Long Beach,2001,70236,60807,33.77005,-118.19374
Long Beach,2002,64424,60807,33.77005,-118.19374
Long Beach,2003,59972,60807,33.77005,-118.19374
Long Beach,2004,60184,60807,33.77005,-118.19374
Long Beach,2005,53660,60807,33.77005,-118.19374
Long Beach,2006,49128,60807,33.77005,-118.19374
Long Beach,2007,48808,60807,33.77005,-118.19374
Long Beach,2008,51148,60807,33.77005,-118.19374
Long Beach,2009,43788,60807,33.77005,-118.19374
Long Beach,2010,95740,60807,33.77005,-118.19374
Victorville,2000,59220,54151,34.536218,-117.29276
Victorville,2001,59494,54151,34.536218,-117.29276
Victorville,2002,61176,54151,34.536218,-117.29276
Victorville,2003,58000,54151,34.536218,-117.29276
