Cities,NO2,Latitude,Longitude
New York,111361,40.712784,-74.005941
Los Angeles,97811,34.052234,-118.24368
Phoenix,96126,33.448377,-112.07404
San Diego,95696,32.715738,-117.16108
El Paso,69653,31.761878,-106.48502
Northbrook,64315,42.127527,-87.828955
Long Beach,60807,33.77005,-118.19374
Victorville,54151,34.536218,-117.29276
North Little Rock,53877,34.769536,-92.267094
Chicago,53056,41.878114,-87.629798
Houston,52910,29.760427,-95.369803
Washington,48877,38.907192,-77.036871
Welby,48357,39.836653,-104.95915
Philadelphia,47457,39.952584,-75.165222
Charlotte,47016,35.227087,-80.843127
Boston,44704,42.360082,-71.05888
Tucson,44495,32.221743,-110.92648
San Francisco,43607,37.774929,-122.41942
Camden,42827,39.925946,-75.11962
Baton Rouge,41872,30.458283,-91.14032
Kansas City,39986,39.114053,-94.627464
Holtsville,39859,40.815376,-73.045108
Fresno,39381,36.746842,-119.77259
Denver,39245,39.739236,-104.99025
Dallas,39000,32.776664,-96.796988
Costa Mesa,38070,33.641216,-117.91882
East Saint Louis,37550,38.624514,-90.150646
Newark,34237,40.735657,-74.172367
Scottsdale,33112,33.49417,-111.92605
Cicero,32893,41.845588,-87.753945
San Jose,32304,37.338208,-121.88633
McLean,32168,38.933868,-77.17726
St. Ann,29004,32.791879,-96.806665
San Pablo,28967,37.962146,-122.34553
San Antonio,"28,272",29.424122,-98.493628
St. Louis,"27,772",38.627003,-90.199404
Winter Park,"27,727",28.600001,-81.339235
New Haven,"26,987",41.308274,-72.927884
Berkeley,"25,289",37.871593,-122.27275
Portland,"25,252",43.661471,-70.255326
Breckenridge Hills,"24,204",38.714496,-90.367338
Detroit,"23,373",42.331427,-83.045754
York,"23,334",39.962598,-76.727745
Henderson,"23,285",37.836154,-87.590013
Beaver Falls,"22,133",40.518681,-78.394736
Ashland,"21,938",38.478414,-82.637939
Alexandria,"21,622",38.804836,-77.046921
New Castle,"21,003",41.003672,-80.347009
Portland,"20,211",45.523062,-122.67648
Freemansburg,"19,937",40.626488,-75.345735
Milwaukee,"19,834",43.038902,-87.906474
Beltsville,"19,072",39.034832,-76.907474
Greensburg,"18,941",40.301458,-79.538929
Lancaster,"18,793",40.037875,-76.305514
Louisville,"17,797",38.252665,-85.758456
Indianapolis,"17,713",39.768403,-86.158068
Altoona,"17,423",40.518681,-78.394736
Tulsa,"17,158",36.153982,-95.992775
Westport,"16,491",41.141472,-73.357905
Johnstown,"16,490",40.326741,-78.92197
Grand Rapids,"16,151",42.96336,-85.668086
Valrico,"15,032",27.946261,-82.242032
Des Moines,"13,828",41.600545,-93.609106
Miami,"12,384",25.761681,-80.19179
East Hartford,"12,051",41.763422,-72.612834
Park Hill,"10,415",39.246434,-94.672393
Boulder City,"9,975",35.978222,-114.83451
Winston-Salem,"9,334",36.099861,-80.244216
Davenport,"9,214",41.523644,-90.577637
Athens,"7,912",37.983811,23.727539
Presque Isle,"7,315",46.681153,-68.015861
Kenner,"6,384",29.994092,-90.241743
Cornwall,"1,796",41.843706,-73.329285
Reno,"1,376",39.529633,-119.8138
